,Time period,Current period
,"
              Day
            ",Site sessions
270,2025-07-16 00:00:00,0
271,2025-07-17 00:00:00,0
272,2025-07-18 00:00:00,0
273,2025-07-19 00:00:00,0
274,2025-07-20 00:00:00,0
275,2025-07-21 00:00:00,0
276,2025-07-22 00:00:00,0
277,2025-07-23 00:00:00,0
278,2025-07-24 00:00:00,0
279,2025-07-25 00:00:00,0
280,2025-07-26 00:00:00,0
281,2025-07-27 00:00:00,0
282,2025-07-28 00:00:00,0
283,2025-07-29 00:00:00,0
284,2025-07-30 00:00:00,0
285,2025-07-31 00:00:00,0
286,2025-08-01 00:00:00,0
287,2025-08-02 00:00:00,0
288,2025-08-03 00:00:00,0
289,2025-08-04 00:00:00,0
290,2025-08-05 00:00:00,0
291,2025-08-06 00:00:00,0
292,2025-08-07 00:00:00,0
293,2025-08-08 00:00:00,0
294,2025-08-09 00:00:00,0
295,2025-08-10 00:00:00,0
296,2025-08-11 00:00:00,0
297,2025-08-12 00:00:00,0
298,2025-08-13 00:00:00,0
299,2025-08-14 00:00:00,0
300,2025-08-15 00:00:00,0
301,2025-08-16 00:00:00,0
302,2025-08-17 00:00:00,0
303,2025-08-18 00:00:00,0
304,2025-08-19 00:00:00,0
305,2025-08-20 00:00:00,0
306,2025-08-21 00:00:00,0
307,2025-08-22 00:00:00,0
308,2025-08-23 00:00:00,0
309,2025-08-24 00:00:00,0
310,2025-08-25 00:00:00,0
311,2025-08-26 00:00:00,0
312,2025-08-27 00:00:00,0
313,2025-08-28 00:00:00,0
314,2025-08-29 00:00:00,0
315,2025-08-30 00:00:00,0
316,2025-08-31 00:00:00,0
317,2025-09-01 00:00:00,0
318,2025-09-02 00:00:00,0
319,2025-09-03 00:00:00,0
320,2025-09-04 00:00:00,0
321,2025-09-05 00:00:00,0
322,2025-09-06 00:00:00,0
323,2025-09-07 00:00:00,0
324,2025-09-08 00:00:00,0
325,2025-09-13 00:00:00,0
326,2025-09-14 00:00:00,0
327,2025-09-15 00:00:00,0
328,2025-09-16 00:00:00,0
329,2025-09-17 00:00:00,0
330,2025-09-18 00:00:00,0
331,2025-09-19 00:00:00,0
332,2025-09-20 00:00:00,0
333,2025-09-21 00:00:00,0
334,2025-09-22 00:00:00,0
335,2025-09-23 00:00:00,0
336,2025-09-25 00:00:00,0
337,2025-09-26 00:00:00,0
338,2025-09-27 00:00:00,0
339,2025-09-28 00:00:00,0
340,2025-09-30 00:00:00,0
341,2025-10-01 00:00:00,0
342,2025-10-02 00:00:00,0
343,2025-10-03 00:00:00,0
344,2025-10-04 00:00:00,0
345,2025-10-05 00:00:00,0
346,2025-10-06 00:00:00,0
347,2025-10-10 00:00:00,0
348,2025-10-11 00:00:00,0
349,2025-10-12 00:00:00,0
350,2025-10-16 00:00:00,0
351,2025-10-18 00:00:00,0
352,2025-10-19 00:00:00,0
353,2025-10-20 00:00:00,0
354,2025-10-21 00:00:00,0
355,2025-10-22 00:00:00,0
356,2025-10-23 00:00:00,0
357,2025-10-24 00:00:00,0
358,2025-10-25 00:00:00,0
359,2025-10-26 00:00:00,0
360,2025-10-27 00:00:00,0
361,2025-10-29 00:00:00,0
362,2025-11-01 00:00:00,0
363,2025-11-02 00:00:00,0
364,2025-11-08 00:00:00,0
365,2025-11-09 00:00:00,0
