Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
04/30/2025,3305,0,3305,1387,3331,0,3331,56,0,56,5,0,5,2,0,2,1.026928895612708,0,1.026928895612708
05/01/2025,1368,0,1368,586,914,0,914,20,0,20,1,0,1,1,0,1,0.6842105263157895,0,0.6842105263157895
05/02/2025,968,0,968,306,527,0,527,19,0,19,0,0,0,0,0,0,0.5640495867768595,0,0.5640495867768595
05/03/2025,579,0,579,202,191,0,191,4,0,4,1,0,1,0,0,0,0.3385146804835924,0,0.3385146804835924
05/04/2025,613,0,613,194,241,0,241,5,0,5,0,0,0,0,0,0,0.401305057096248,0,0.401305057096248
05/05/2025,360,0,360,165,161,0,161,6,0,6,0,0,0,0,0,0,0.4638888888888889,0,0.4638888888888889
05/06/2025,434,0,434,145,117,0,117,7,0,7,0,0,0,0,0,0,0.2857142857142857,0,0.2857142857142857
05/07/2025,1722,0,1722,830,240,0,240,55,0,55,21,0,21,0,0,0,0.1835075493612079,0,0.1835075493612079
05/08/2025,647,0,647,309,70,0,70,11,0,11,7,0,7,0,0,0,0.13601236476043277,0,0.13601236476043277
05/09/2025,1083,0,1083,362,168,0,168,30,0,30,1,0,1,0,0,0,0.1837488457987073,0,0.1837488457987073
05/10/2025,1028,0,1028,472,73,0,73,44,0,44,0,0,0,0,0,0,0.11381322957198443,0,0.11381322957198443
05/11/2025,585,0,585,227,77,0,77,23,0,23,2,0,2,0,0,0,0.17435897435897435,0,0.17435897435897435
05/12/2025,1010,0,1010,303,131,0,131,24,0,24,2,0,2,0,0,0,0.15544554455445544,0,0.15544554455445544
05/13/2025,846,0,846,277,77,0,77,10,0,10,3,0,3,0,0,0,0.10638297872340426,0,0.10638297872340426
05/14/2025,2132,0,2132,819,266,0,266,56,0,56,2,0,2,1,0,1,0.1524390243902439,0,0.1524390243902439
05/15/2025,1157,0,1157,561,130,0,130,30,0,30,1,0,1,0,0,0,0.13915298184961106,0,0.13915298184961106
05/16/2025,1909,0,1909,753,432,0,432,16,0,16,3,0,3,0,0,0,0.23624934520691462,0,0.23624934520691462
05/17/2025,1076,0,1076,518,349,0,349,13,0,13,3,0,3,0,0,0,0.3392193308550186,0,0.3392193308550186
05/18/2025,1186,0,1186,460,426,0,426,15,0,15,0,0,0,0,0,0,0.3718381112984823,0,0.3718381112984823
05/19/2025,1071,0,1071,487,254,0,254,11,0,11,0,0,0,0,0,0,0.24743230625583568,0,0.24743230625583568
05/20/2025,1839,0,1839,861,272,0,272,37,0,37,10,0,10,0,0,0,0.17346383904295812,0,0.17346383904295812
05/21/2025,1350,0,1350,455,132,0,132,19,0,19,7,0,7,0,0,0,0.11703703703703704,0,0.11703703703703704
05/22/2025,1601,0,1601,313,507,0,507,5,0,5,1,0,1,0,0,0,0.3204247345409119,0,0.3204247345409119
05/23/2025,1970,0,1970,734,132,0,132,10,0,10,4,0,4,0,0,0,0.07411167512690356,0,0.07411167512690356
05/24/2025,1046,0,1046,389,146,0,146,5,0,5,1,0,1,0,0,0,0.14531548757170173,0,0.14531548757170173
05/25/2025,671,0,671,282,100,0,100,8,0,8,2,0,2,0,0,0,0.16393442622950818,0,0.16393442622950818
05/26/2025,1531,0,1531,762,89,0,89,44,0,44,2,0,2,1,0,1,0.08883082952318747,0,0.08883082952318747
05/27/2025,1268,0,1268,508,102,0,102,25,0,25,1,0,1,-1,0,-1,0.10015772870662461,0,0.10015772870662461
05/28/2025,2384,0,2384,1111,155,0,155,74,0,74,0,0,0,0,0,0,0.09605704697986577,0,0.09605704697986577
05/29/2025,1790,0,1790,767,248,0,248,44,0,44,0,0,0,0,0,0,0.16312849162011173,0,0.16312849162011173
05/30/2025,2331,0,2331,990,1158,0,1158,39,0,39,3,0,3,1,0,1,0.5152295152295152,0,0.5152295152295152
